epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,146.069,0.92027,1.24003,0.84669,0.97467,0.99174,0.99383,0.77012,0.77659,0.8022,0.81917,0.00121591,0.00121591,0.00121591
43,149.91,0.88103,1.21535,0.86412,0.97467,0.99174,0.99383,0.77012,0.77659,0.8022,0.81917,0.00120491,0.00120491,0.00120491
44,153.82,0.90407,1.09286,0.8696,0.99035,0.99174,0.99483,0.76995,0.76364,0.75193,0.82071,0.00119391,0.00119391,0.00119391
45,157.52,0.87148,1.067,0.84142,0.99035,0.99174,0.99483,0.76995,0.76364,0.75193,0.82071,0.0011829,0.0011829,0.0011829
46,160.93,0.8598,1.05031,0.82592,0.99035,0.99174,0.99483,0.76995,0.76364,0.75193,0.82071,0.0011719,0.0011719,0.0011719
47,164.325,0.88233,1.05106,0.83796,0.99274,0.98347,0.99492,0.78413,0.76964,0.71632,0.81709,0.0011609,0.0011609,0.0011609
48,167.725,0.89095,1.12867,0.8513,0.99274,0.98347,0.99492,0.78413,0.76964,0.71632,0.81709,0.0011499,0.0011499,0.0011499
49,171.102,0.86741,1.02785,0.83234,0.99274,0.98347,0.99492,0.78413,0.76964,0.71632,0.81709,0.00113889,0.00113889,0.00113889
50,174.706,0.77296,1.00847,0.81531,0.99149,0.99174,0.99483,0.79801,0.71625,0.67051,0.80718,0.00112789,0.00112789,0.00112789
51,178.607,0.81807,1.05245,0.82534,0.99149,0.99174,0.99483,0.79801,0.71625,0.67051,0.80718,0.00111689,0.00111689,0.00111689
52,182.349,0.80955,0.96514,0.82368,0.99149,0.99174,0.99483,0.79801,0.71625,0.67051,0.80718,0.00110589,0.00110589,0.00110589
53,185.965,0.79775,1.07438,0.82781,0.98346,0.98258,0.99312,0.79596,0.69925,0.64657,0.80228,0.00109489,0.00109489,0.00109489
54,189.29,0.81836,0.9548,0.82003,0.98346,0.98258,0.99312,0.79596,0.69925,0.64657,0.80228,0.00108388,0.00108388,0.00108388
55,192.474,0.8437,1.08997,0.83194,0.98346,0.98258,0.99312,0.79596,0.69925,0.64657,0.80228,0.00107288,0.00107288,0.00107288
56,195.718,0.80526,1.01908,0.83667,0.99171,0.98906,0.99483,0.78394,0.69097,0.65253,0.80566,0.00106188,0.00106188,0.00106188
57,199.123,0.88224,1.01659,0.84794,0.99171,0.98906,0.99483,0.78394,0.69097,0.65253,0.80566,0.00105088,0.00105088,0.00105088
58,202.43,0.89719,1.03599,0.83104,0.99171,0.98906,0.99483,0.78394,0.69097,0.65253,0.80566,0.00103987,0.00103987,0.00103987
59,205.797,0.77699,1.01666,0.82684,0.99171,0.98906,0.99483,0.78394,0.69097,0.65253,0.80566,0.00102887,0.00102887,0.00102887
60,209.221,0.76448,0.93678,0.83542,0.99158,0.97298,0.99354,0.80147,0.68839,0.63477,0.80478,0.00101787,0.00101787,0.00101787
61,212.72,0.76401,0.967,0.82364,0.99158,0.97298,0.99354,0.80147,0.68839,0.63477,0.80478,0.00100687,0.00100687,0.00100687
62,215.983,0.78594,1.01623,0.83019,0.99158,0.97298,0.99354,0.80147,0.68839,0.63477,0.80478,0.000995866,0.000995866,0.000995866
63,220.032,0.75654,0.9881,0.82152,0.9752,0.97478,0.988,0.80582,0.68004,0.59645,0.80087,0.000984864,0.000984864,0.000984864
64,223.425,0.79302,0.98866,0.81082,0.9752,0.97478,0.988,0.80582,0.68004,0.59645,0.80087,0.000973861,0.000973861,0.000973861
65,226.514,0.82052,0.95944,0.82048,0.9752,0.97478,0.988,0.80582,0.68004,0.59645,0.80087,0.000962859,0.000962859,0.000962859
66,229.918,0.77628,0.92278,0.81906,0.9745,0.98347,0.99325,0.8182,0.66061,0.58574,0.7976,0.000951857,0.000951857,0.000951857
67,233.175,0.69961,0.88328,0.81757,0.9745,0.98347,0.99325,0.8182,0.66061,0.58574,0.7976,0.000940855,0.000940855,0.000940855
68,236.505,0.79997,0.98046,0.83456,0.9745,0.98347,0.99325,0.8182,0.66061,0.58574,0.7976,0.000929853,0.000929853,0.000929853
69,240.146,0.73156,0.89344,0.8175,0.9812,0.98347,0.99443,0.81089,0.66593,0.57431,0.7979,0.00091885,0.00091885,0.00091885
70,243.699,0.76815,0.88848,0.81825,0.9812,0.98347,0.99443,0.81089,0.66593,0.57431,0.7979,0.000907848,0.000907848,0.000907848
71,247.063,0.75696,0.82672,0.82394,0.9812,0.98347,0.99443,0.81089,0.66593,0.57431,0.7979,0.000896846,0.000896846,0.000896846
72,250.163,0.76921,0.86266,0.83838,0.98358,0.99009,0.99467,0.80885,0.64084,0.57658,0.79529,0.000885844,0.000885844,0.000885844
73,253.628,0.70133,0.84639,0.8023,0.98358,0.99009,0.99467,0.80885,0.64084,0.57658,0.79529,0.000874842,0.000874842,0.000874842
74,256.986,0.70338,0.81651,0.80579,0.98358,0.99009,0.99467,0.80885,0.64084,0.57658,0.79529,0.000863839,0.000863839,0.000863839
75,260.622,0.70775,0.80728,0.84378,0.98358,0.99009,0.99467,0.80885,0.64084,0.57658,0.79529,0.000852837,0.000852837,0.000852837
76,264.178,0.7366,0.85383,0.82069,0.98903,0.98347,0.99475,0.82701,0.63743,0.57378,0.79338,0.000841835,0.000841835,0.000841835
77,267.399,0.67975,0.86781,0.81579,0.98903,0.98347,0.99475,0.82701,0.63743,0.57378,0.79338,0.000830833,0.000830833,0.000830833
78,271.249,0.75029,0.83652,0.82143,0.98903,0.98347,0.99475,0.82701,0.63743,0.57378,0.79338,0.000819831,0.000819831,0.000819831
79,274.965,0.73415,0.87379,0.82132,0.99981,0.98347,0.99484,0.82173,0.63511,0.57587,0.79345,0.000808828,0.000808828,0.000808828
80,278.684,0.78776,0.86227,0.81287,0.99981,0.98347,0.99484,0.82173,0.63511,0.57587,0.79345,0.000797826,0.000797826,0.000797826
81,281.837,0.74701,0.86443,0.81833,0.99981,0.98347,0.99484,0.82173,0.63511,0.57587,0.79345,0.000786824,0.000786824,0.000786824
82,285.295,0.75812,0.88585,0.84577,0.99964,0.98347,0.99484,0.8159,0.63535,0.58597,0.79473,0.000775822,0.000775822,0.000775822
83,288.545,0.70342,0.84603,0.83565,0.99964,0.98347,0.99484,0.8159,0.63535,0.58597,0.79473,0.00076482,0.00076482,0.00076482
84,291.782,0.72462,0.85773,0.82652,0.99964,0.98347,0.99484,0.8159,0.63535,0.58597,0.79473,0.000753817,0.000753817,0.000753817
85,295.02,0.69988,0.8887,0.82447,0.99866,0.98347,0.99492,0.81548,0.62721,0.57249,0.79631,0.000742815,0.000742815,0.000742815
86,298.163,0.68637,0.85222,0.84843,0.99866,0.98347,0.99492,0.81548,0.62721,0.57249,0.79631,0.000731813,0.000731813,0.000731813
87,301.901,0.73181,0.83669,0.83401,0.99866,0.98347,0.99492,0.81548,0.62721,0.57249,0.79631,0.000720811,0.000720811,0.000720811
88,305.38,0.7108,0.86471,0.83085,0.99173,0.99053,0.99492,0.83937,0.61589,0.55199,0.79348,0.000709809,0.000709809,0.000709809
89,309.513,0.71964,0.82991,0.82085,0.99173,0.99053,0.99492,0.83937,0.61589,0.55199,0.79348,0.000698806,0.000698806,0.000698806
90,313.17,0.72312,0.91769,0.83012,0.99173,0.99053,0.99492,0.83937,0.61589,0.55199,0.79348,0.000687804,0.000687804,0.000687804
91,316.381,0.66986,0.81355,0.83553,0.99173,0.99053,0.99492,0.83937,0.61589,0.55199,0.79348,0.000676802,0.000676802,0.000676802
92,319.93,0.61262,0.88563,0.84666,0.99171,0.9889,0.99492,0.84463,0.60297,0.54546,0.78974,0.0006658,0.0006658,0.0006658
93,323.436,0.69025,0.78985,0.82234,0.99171,0.9889,0.99492,0.84463,0.60297,0.54546,0.78974,0.000654798,0.000654798,0.000654798
94,326.973,0.7054,0.84794,0.84705,0.99171,0.9889,0.99492,0.84463,0.60297,0.54546,0.78974,0.000643795,0.000643795,0.000643795
95,330.389,0.63535,0.82139,0.80778,0.99935,0.98347,0.99484,0.85327,0.58698,0.53696,0.78975,0.000632793,0.000632793,0.000632793
96,334.181,0.66444,0.82571,0.81711,0.99935,0.98347,0.99484,0.85327,0.58698,0.53696,0.78975,0.000621791,0.000621791,0.000621791
97,338.791,0.65108,0.75137,0.80988,0.99935,0.98347,0.99484,0.85327,0.58698,0.53696,0.78975,0.000610789,0.000610789,0.000610789
98,343.146,0.62865,0.79655,0.80958,0.99889,0.98347,0.99492,0.84257,0.57946,0.52649,0.7904,0.000599787,0.000599787,0.000599787
99,347.688,0.62502,0.78619,0.82317,0.99889,0.98347,0.99492,0.84257,0.57946,0.52649,0.7904,0.000588784,0.000588784,0.000588784
100,351.837,0.63796,0.73308,0.80479,0.99889,0.98347,0.99492,0.84257,0.57946,0.52649,0.7904,0.000577782,0.000577782,0.000577782
101,355.019,0.6248,0.74777,0.81934,0.99792,0.98347,0.99492,0.83846,0.57562,0.51984,0.78964,0.00056678,0.00056678,0.00056678
102,358.66,0.64514,0.75234,0.81808,0.99792,0.98347,0.99492,0.83846,0.57562,0.51984,0.78964,0.000555778,0.000555778,0.000555778
103,362.014,0.66943,0.74002,0.81712,0.99792,0.98347,0.99492,0.83846,0.57562,0.51984,0.78964,0.000544776,0.000544776,0.000544776
104,365.723,0.63686,0.86376,0.79942,0.98971,0.99174,0.99492,0.83636,0.57505,0.51616,0.78926,0.000533773,0.000533773,0.000533773
105,369.204,0.68584,0.75618,0.81756,0.98971,0.99174,0.99492,0.83636,0.57505,0.51616,0.78926,0.000522771,0.000522771,0.000522771
106,372.369,0.67062,0.79411,0.82329,0.98971,0.99174,0.99492,0.83636,0.57505,0.51616,0.78926,0.000511769,0.000511769,0.000511769
107,376.318,0.66279,0.72965,0.80537,0.98971,0.99174,0.99492,0.83636,0.57505,0.51616,0.78926,0.000500767,0.000500767,0.000500767
108,379.857,0.6182,0.7011,0.8035,0.99661,0.99174,0.995,0.83924,0.57476,0.51526,0.78883,0.000489765,0.000489765,0.000489765
109,383.153,0.69512,0.77003,0.82107,0.99661,0.99174,0.995,0.83924,0.57476,0.51526,0.78883,0.000478762,0.000478762,0.000478762
110,386.584,0.63878,0.71138,0.80439,0.99661,0.99174,0.995,0.83924,0.57476,0.51526,0.78883,0.00046776,0.00046776,0.00046776
111,389.92,0.68006,0.74529,0.79763,1,0.99001,0.995,0.84526,0.57275,0.50618,0.78764,0.000456758,0.000456758,0.000456758
112,393.264,0.59979,0.69077,0.79768,1,0.99001,0.995,0.84526,0.57275,0.50618,0.78764,0.000445756,0.000445756,0.000445756
113,396.852,0.67972,0.78423,0.78793,1,0.99001,0.995,0.84526,0.57275,0.50618,0.78764,0.000434754,0.000434754,0.000434754
114,400.169,0.6367,0.76725,0.80841,0.98953,0.99174,0.99483,0.85131,0.56302,0.49413,0.78644,0.000423751,0.000423751,0.000423751
115,403.387,0.59802,0.67235,0.80607,0.98953,0.99174,0.99483,0.85131,0.56302,0.49413,0.78644,0.000412749,0.000412749,0.000412749
116,406.714,0.61118,0.71498,0.80359,0.98953,0.99174,0.99483,0.85131,0.56302,0.49413,0.78644,0.000401747,0.000401747,0.000401747
117,409.931,0.64316,0.78653,0.82837,0.98961,0.99174,0.99483,0.8494,0.55551,0.49189,0.78473,0.000390745,0.000390745,0.000390745
118,413.066,0.65716,0.7088,0.81503,0.98961,0.99174,0.99483,0.8494,0.55551,0.49189,0.78473,0.000379743,0.000379743,0.000379743
119,416.43,0.62526,0.71573,0.79971,0.98961,0.99174,0.99483,0.8494,0.55551,0.49189,0.78473,0.00036874,0.00036874,0.00036874
120,419.94,0.57124,0.6619,0.8136,0.99033,0.99174,0.99483,0.85618,0.55532,0.48237,0.78553,0.000357738,0.000357738,0.000357738
121,423.381,0.60073,0.69808,0.82222,0.99033,0.99174,0.99483,0.85618,0.55532,0.48237,0.78553,0.000346736,0.000346736,0.000346736
122,426.467,0.65581,0.70365,0.8147,0.99033,0.99174,0.99483,0.85618,0.55532,0.48237,0.78553,0.000335734,0.000335734,0.000335734
123,429.622,0.5951,0.69668,0.79322,0.99033,0.99174,0.99483,0.85618,0.55532,0.48237,0.78553,0.000324732,0.000324732,0.000324732
124,432.78,0.63222,0.71479,0.78752,0.98949,0.99174,0.99483,0.85278,0.54795,0.48439,0.78457,0.000313729,0.000313729,0.000313729
125,435.81,0.56577,0.67749,0.81882,0.98949,0.99174,0.99483,0.85278,0.54795,0.48439,0.78457,0.000302727,0.000302727,0.000302727
126,439.001,0.6254,0.70481,0.80457,0.98949,0.99174,0.99483,0.85278,0.54795,0.48439,0.78457,0.000291725,0.000291725,0.000291725
127,442.494,0.63854,0.70476,0.8262,0.98931,0.99174,0.99483,0.85118,0.54309,0.47945,0.7837,0.000280723,0.000280723,0.000280723
128,445.867,0.61896,0.68716,0.79357,0.98931,0.99174,0.99483,0.85118,0.54309,0.47945,0.7837,0.000269721,0.000269721,0.000269721
129,449.338,0.62386,0.78858,0.80897,0.98931,0.99174,0.99483,0.85118,0.54309,0.47945,0.7837,0.000258718,0.000258718,0.000258718
130,452.52,0.63991,0.72521,0.80468,0.98962,0.99174,0.99483,0.84645,0.53967,0.47097,0.783,0.000247716,0.000247716,0.000247716
131,455.773,0.62424,0.66357,0.80813,0.98962,0.99174,0.99483,0.84645,0.53967,0.47097,0.783,0.000236714,0.000236714,0.000236714
132,458.978,0.61918,0.67814,0.8162,0.98962,0.99174,0.99483,0.84645,0.53967,0.47097,0.783,0.000225712,0.000225712,0.000225712
133,462.135,0.61283,0.69721,0.81365,0.98951,0.99174,0.99483,0.84061,0.53668,0.4665,0.78211,0.00021471,0.00021471,0.00021471
134,465.245,0.63385,0.73207,0.81787,0.98951,0.99174,0.99483,0.84061,0.53668,0.4665,0.78211,0.000203707,0.000203707,0.000203707
135,468.766,0.56392,0.67972,0.80596,0.98951,0.99174,0.99483,0.84061,0.53668,0.4665,0.78211,0.000192705,0.000192705,0.000192705
136,472.013,0.69845,0.7627,0.82567,0.98989,0.99174,0.99483,0.85154,0.53465,0.46565,0.78216,0.000181703,0.000181703,0.000181703
137,475.396,0.56242,0.6656,0.79204,0.98989,0.99174,0.99483,0.85154,0.53465,0.46565,0.78216,0.000170701,0.000170701,0.000170701
138,478.582,0.60137,0.72611,0.82167,0.98989,0.99174,0.99483,0.85154,0.53465,0.46565,0.78216,0.000159699,0.000159699,0.000159699
139,481.989,0.58469,0.68562,0.80516,0.98989,0.99174,0.99483,0.85154,0.53465,0.46565,0.78216,0.000148696,0.000148696,0.000148696
140,485.519,0.54827,0.63291,0.80527,0.99168,0.98465,0.99492,0.85042,0.53483,0.4613,0.78263,0.000137694,0.000137694,0.000137694
141,488.652,0.5575,0.7689,0.79934,0.99168,0.98465,0.99492,0.85042,0.53483,0.4613,0.78263,0.000126692,0.000126692,0.000126692
142,491.855,0.64986,0.81678,0.83506,0.99168,0.98465,0.99492,0.85042,0.53483,0.4613,0.78263,0.00011569,0.00011569,0.00011569
143,494.984,0.62146,0.86451,0.81829,0.98907,0.99174,0.99483,0.8496,0.5361,0.46191,0.78303,0.000104688,0.000104688,0.000104688
144,498.155,0.63765,0.89569,0.80115,0.98907,0.99174,0.99483,0.8496,0.5361,0.46191,0.78303,9.36854e-05,9.36854e-05,9.36854e-05
145,501.439,0.63202,0.80236,0.82082,0.98907,0.99174,0.99483,0.8496,0.5361,0.46191,0.78303,8.26832e-05,8.26832e-05,8.26832e-05
146,504.759,0.62016,0.80436,0.78774,0.98766,0.99174,0.99483,0.8428,0.54223,0.47609,0.78264,7.1681e-05,7.1681e-05,7.1681e-05
147,508.065,0.64082,0.89711,0.77762,0.98766,0.99174,0.99483,0.8428,0.54223,0.47609,0.78264,6.06788e-05,6.06788e-05,6.06788e-05
148,511.549,0.58972,0.78251,0.82049,0.98766,0.99174,0.99483,0.8428,0.54223,0.47609,0.78264,4.96766e-05,4.96766e-05,4.96766e-05
149,514.639,0.59671,0.76411,0.81089,0.98764,0.99174,0.99483,0.83977,0.54186,0.48043,0.78296,3.86744e-05,3.86744e-05,3.86744e-05
150,517.647,0.56935,0.77299,0.81041,0.98764,0.99174,0.99483,0.83977,0.54186,0.48043,0.78296,2.76722e-05,2.76722e-05,2.76722e-05
